,Title,Price,Rating
0,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299","(51,370)"
1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,"₹2,300","(9,226)"
2,Skybags Brat Black 46 Cms Casual Backpack,₹565,"(3,368)"
3,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),"₹1,199",(462)
4,Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 ...,₹669,"(12,103)"
5,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","₹2,100","(7,630)"
6,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹499,"(5,318)"
7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","₹1,799","(2,184)"
8,DEIN KLEIDER Men's Nylon Messenger Bag,₹498,"(4,396)"
9,ADISA Light Weight Laptop Backpack 32 Ltrs,"₹1,199","(5,547)"
10,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹349,(628)
11,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹499,(710)
12,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹889,(675)
13,ADISA Laptop Backpack 31 Ltrs,"₹4,000","(8,992)"
14,BennettTM Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Lap...,₹699,"(4,860)"
15,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)","₹2,599","(7,630)"
